"","cell_type","layer","cor","layer_rank2","cor_rank2","cor_diff","diff_cor2_ratio","layer_confidence","layer_label"
"1","Astro","L1",0.48613076518521,"WM",0.211911474884548,0.274219290300662,1.2940275671719,"good","L1"
"2","EndoMural_01","WM",0.367739932218513,"L1",0.172377645829421,0.195362286389093,1.13333887029886,"good","WM"
"3","EndoMural_02","WM",0.304337104438313,"L1",0.219945777720271,0.0843913267180422,0.383691506119167,"good","WM"
"4","Excit_01","L3",0.619985951832593,"L2",0.555079280277837,0.0649066715547568,0.116932254293961,"good","L3/2"
"5","Excit_02","L6",0.324281653756152,"L5",0.263863233528746,0.0604184202274061,0.228976274638217,"good","L6/5"
"6","Excit_03","L4",0.30390274885353,"L5",0.262411841365365,0.0414909074881659,0.158113701242608,"good","L4/5"
"7","Excit_04","L5",0.704414768553854,"L4",0.301410519502686,0.403004249051168,1.33706099480571,"good","L5"
"8","Excit_05","L3",0.420968788807832,"L2",0.249651675471195,0.171317113336637,0.686224568744795,"good","L3"
"9","Excit_06","L6",0.375431971596212,"L2",0.277334040872978,0.0980979307232334,0.353717597790901,"good","L6"
"10","Excit_07","L5",0.394015579133013,"L4",0.104672946334714,0.289342632798299,2.76425421209664,"good","L5"
"11","Excit_08","L6",0.488359104529164,"L2",0.162455673103713,0.32590343142545,2.00610680562316,"good","L6"
"12","Excit_09","L5",0.317143116085339,"L4",0.313275204055668,0.00386791202967091,0.0123466906400406,"good","L5/4"
"13","Excit_10","L4",0.366326262420566,"L5",0.318502308030243,0.0478239543903235,0.150152614862001,"good","L4/5"
"14","Excit_11","L4",0.271204547905477,"L5",0.179907264725413,0.0912972831800647,0.507468574542608,"good","L4"
"15","Excit_12","L4",0.138562453281134,"L5",0.102797331792548,0.0357651214885869,0.347918772451833,"poor","L4*"
"16","Excit_13","L4",0.181436803978066,"L3",0.15658105143891,0.0248557525391558,0.158740488141717,"poor","L4/3/5*"
"17","Excit_14","L3",0.166386779313049,"L2",0.157956845834825,0.00842993347822366,0.0533685857910762,"poor","L3/2*"
"18","Excit_15","L4",0.143886056945359,"L3",0.110435601308718,0.0334504556366413,0.302895581137209,"poor","L4*"
"19","Inhib_01","L2",0.239744943945781,"L3",0.212307103428984,0.0274378405167967,0.12923656379672,"poor","L2/3*"
"20","Inhib_02","L4",0.211680779550031,"L3",0.10512546737707,0.106555312172962,1.01360131689844,"poor","L4*"
"21","Inhib_03","L4",0.208392822646537,"L3",0.183303601754297,0.0250892208922401,0.136872492695861,"poor","L4/3*"
"22","Inhib_04","L1",0.173770192412678,"L3",0.0863995236830848,0.0873706687295933,1.01124016667118,"poor","L1*"
"23","Inhib_05","L2",0.309751917140949,"L1",0.224486018222766,0.0852658989181829,0.37982721415447,"good","L2"
"24","Inhib_06","L1",0.0884838761207343,"L4",0.0827464689895868,0.00573740713114747,0.0693371838243573,"poor","L1/4*"
"25","Micro","WM",0.364095617295839,"L1",0.113212017069789,0.25088360022605,2.21605096984885,"good","WM"
"26","Oligo_01","L4",0.223649068565636,"L5",0.175404042455604,0.0482450261100328,0.275050822287885,"poor","L4*"
"27","Oligo_02","WM",0.71967906266831,NA,NA,NA,NA,"good","WM"
"28","Oligo_03","WM",0.738136875951309,"L1",0.0138419167377803,0.724294959213529,52.3262040174414,"good","WM"
"29","OPC","WM",0.265295744307533,"L1",0.252608253898873,0.0126874904086594,0.0502259534786956,"good","WM/L1"
