"","cell_type","layer","cor","layer_rank2","cor_rank2","cor_diff","diff_cor2_ratio","layer_confidence","layer_label"
"1","Astro","L1",0.513163495767021,"WM",0.20372861616554,0.309434879601482,1.5188582017857,"good","L1"
"2","Endo","WM",0.295628177739712,"L1",0.0559991328976367,0.239629044842076,4.27915634479741,"good","WM"
"3","L2.3.IT","L3",0.698588544945445,"L2",0.412393534057357,0.286195010888087,0.693985204065499,"good","L3"
"4","L5.6.NP","L5",0.407263297788777,"L4",0.15589332952287,0.251369968265907,1.61244851870991,"good","L5"
"5","L5.ET","L4",0.19165523030804,"L3",0.146456883118752,0.0451983471892882,0.308611969794824,"poor","L4*"
"6","L5.IT","L5",0.666702690356779,"L4",0.430698734246301,0.236003956110478,0.547956001132606,"good","L5"
"7","L6.CT","L6",0.515061694828706,"L5",0.193351433618827,0.321710261209879,1.66386281802337,"good","L6"
"8","L6.IT","L6",0.419655418231212,"L2",0.237946103675309,0.181709314555903,0.763657449099715,"good","L6"
"9","L6.IT.Car3","L6",0.420249112469094,"L2",0.248549987124477,0.171699125344617,0.690803195490122,"good","L6"
"10","L6b","L6",0.511149201785672,"L5",0.147153541210163,0.363995660575509,2.47357730967313,"good","L6"
"11","Lamp5","L3",0.167820581461054,"L1",0.152086615800783,0.0157339656602712,0.103453979677482,"poor","L3/1*"
"12","Micro.PVM","WM",0.306539410935235,"L1",0.0876922652792251,0.21884714565601,2.49562655222976,"good","WM"
"13","Oligo","WM",0.709585024598311,NA,NA,NA,NA,"good","WM"
"14","OPC","WM",0.274480405878133,"L1",0.23017400470725,0.0443064011708834,0.192490899340415,"good","WM/L1"
"15","Pvalb","L4",0.336073134058506,"L3",0.144232648784347,0.191840485274159,1.33007669824461,"good","L4"
"16","Sncg","L2",0.270937016627972,"L1",0.225099222364314,0.0458377942636587,0.203633729971187,"good","L2/1"
"17","Sst","L4",0.193382636865164,"L5",0.141738000064688,0.0516446368004753,0.364366907793993,"poor","L4*"
"18","Sst.Chodl","L5",0.101204387161993,"L4",0.0558928790787745,0.0453115080832187,0.810684810481088,"poor","L5*"
"19","Vip","L2",0.2061094667186,"L3",0.200668359208992,0.00544110750960813,0.0271149249989199,"poor","L2/3*"
"20","VLMC","WM",0.241535137582244,"L1",0.177189092100996,0.0643460454812478,0.363149021862877,"poor","WM*"
