"","cell_type","layer","cor","layer_rank2","cor_rank2","cor_diff","diff_cor2_ratio","layer_confidence","layer_label"
"1","Excit_01","L3",0.648889002119164,"L2",0.570390362881795,0.0784986392373695,0.137622660454446,"good","L3/2"
"2","Excit_02","L6",0.26957279758772,"L5",0.214244505015552,0.0553282925721675,0.258248362393944,"good","L6"
"3","Excit_03","L4",0.298988861288831,"L5",0.061373497825077,0.237615363463754,3.87162817639937,"good","L4"
"4","Excit_04","L5",0.64623479756009,"L4",0.219764307035675,0.426470490524415,1.94058123576539,"good","L5"
"5","Excit_05","L1",0.308931898136839,"WM",0.246188501545406,0.0627433965914332,0.25485916766044,"good","L1"
"6","Excit_06","L6",0.448045318867032,"L2",0.0907417636078265,0.357303555259205,3.9375866310404,"good","L6"
"7","Excit_07","L5",0.258323538282739,"L6",0.0714681274232433,0.186855410859495,2.61452786852682,"good","L5"
"8","Excit_08","L6",0.470226970978742,"WM",0.154013729791629,0.316213241187113,2.05314968746572,"good","L6"
"9","Excit_09","L4",0.144718178630342,"L3",0.0675790989897077,0.0771390796406344,1.14146357074667,"poor","L4*"
"10","Excit_10","L4",0.314210277833502,"L3",0.19851891764387,0.115691360189632,0.582772471070869,"good","L4"
"11","Excit_11","L4",0.121702118368126,"L5",0.0650681590134696,0.056633959354656,0.870379002776647,"poor","L4*"
"12","Excit_12","L4",0.0476296846175759,"L1",0.0369581799945638,0.0106715046230122,0.288745404253723,"poor","L4*"
"13","Excit_13","L1",0.331131072276892,"WM",0.289428867927378,0.0417022043495134,0.144084467621167,"good","L1/WM"
"14","Excit_14","L1",0.163632305891537,"L2",0.115195088289897,0.0484372176016403,0.420479886084592,"poor","L1*"
"15","Excit_15","L1",0.371558218235427,"WM",0.177072534367971,0.194485683867456,1.09833907647868,"good","L1"
