Sample,total_n,non_empty_default
Br2720_mid,1152093,4435
Br2720_post,922885,57625
Br2743_ant,655424,2975
Br2743_mid,1495673,4837
Br3942_ant,1692299,52946
Br3942_mid,2209670,74365
Br6423_ant,1521781,88179
Br6423_post,1786747,91276
Br6432_ant,736110,3402
Br6471_ant,1148322,3594
Br6471_mid,1653348,56272
Br6522_mid,604278,4897
Br6522_post,681586,6066
Br8325_ant,1855444,58687
Br8325_mid,2192531,77615
Br8492_mid,1302254,56478
Br8492_post,965917,3678
Br8667_ant,1875106,70117
Br8667_mid,2154338,88660
