Sample,file_id,region,subject,round,n,n_high_mito,n_low_sum,n_low_detect,n_discard_auto
Br2720_mid,1c-k,middle,Br2720,round1,3743,544,110,306,642
Br2720_post,9c_k,posterior,Br2720,round3,5950,26,0,13,39
Br2743_ant,8c_k,anterior,Br2743,round3,3198,337,0,0,337
Br2743_mid,round0,middle,Br2743,round0,3426,586,76,412,703
Br3942_ant,11c_k,anterior,Br3942,round3,6269,1064,0,0,1064
Br3942_mid,15c_k,middle,Br3942,round4,4309,27,0,0,27
Br6423_ant,14c_k,anterior,Br6423,round4,3999,6,0,95,101
Br6423_post,12c_k,posterior,Br6423,round4,4067,0,0,0,0
Br6432_ant,2c-k,anterior,Br6432,round1,3432,258,84,143,373
Br6471_ant,3c-k,anterior,Br6471,round1,3622,270,192,228,410
Br6471_mid,6c_k,middle,Br6471,round2,5352,628,0,0,628
Br6522_mid,4c_k,middle,Br6522,round2,4035,31,0,0,31
Br6522_post,5c_k,posterior,Br6522,round2,4295,20,0,0,20
Br8325_ant,16c_k,anterior,Br8325,round5,5951,1229,0,46,1244
Br8325_mid,17c_k,middle,Br8325,round5,4990,970,0,0,970
Br8492_mid,10c_k,middle,Br8492,round3,5189,192,0,0,192
Br8492_post,7c_k,posterior,Br8492,round2,2989,328,0,0,328
Br8667_ant,18c_k,anterior,Br8667,round5,5806,32,0,0,32
Br8667_mid,13c_k,middle,Br8667,round4,4134,11,0,0,11
