"","k","wcss","fasthplus"
"1",5,133639782.825597,0.270559952876904
"2",6,141564731.656055,0.195750603814241
"3",7,142086773.051001,0.194671302650943
"4",8,123695364.250613,0.190246819390191
"5",9,117470916.399999,0.204908426155943
"6",10,113413021.36123,0.175267430177796
"7",11,109652573.204483,0.185298688275472
"8",12,115368857.506097,0.234821985284948
"9",13,109356819.281335,0.144613219679664
"10",14,105134415.459035,0.195750721941198
"11",15,109840170.7189,0.163276545396223
"12",16,106289067.644013,0.129160962710603
"13",17,99159170.5237543,0.147804930795848
"14",18,97384056.8721795,0.162427495652478
"15",19,95283405.4977055,0.135657963089015
"16",20,96740855.3433593,0.133811458048232
"17",21,97143713.2664983,0.0267942583732057
"18",22,100147091.901816,0.156140955004591
"19",23,94507547.1157851,0.0343915343915344
"20",24,94309718.9603928,0.0189090909090909
"21",25,93781880.7833188,0.136932604444444
"22",26,94030346.6703441,0.1334516765286
"23",27,89535332.1390992,0.153939557368913
"24",28,89693294.0123748,0.0415561450044209
"25",29,90797285.8580848,0.161270596228979
"26",30,88113334.8348174,0.0425948005881623
"27",31,87073309.0558103,0.111312290438201
"28",32,87182258.679879,0.115420236895161
"29",33,85105423.2268044,0.0540796963946869
"30",34,88054995.4597807,0.0426785714285714
"31",35,90634067.2312373,0.0301986686297615
"32",36,85285183.2934241,0.110681109763864
"33",37,84455771.620755,0.120374090306523
"34",38,84453558.292509,0.13139600827393
"35",39,84815004.0558628,0.0414081017219735
"36",40,83602644.8091986,0.109902466168091
"37",41,84210912.8657607,0.0959955859607377
"38",42,82471327.0595533,0.022359610277028
"39",43,82045362.9414224,0.097563644838448
"40",44,82098167.7969924,0.020463282078473
"41",45,80426810.4326521,0.0277721604314122
"42",46,83450082.0818732,0.109932437163061
"43",47,82020902.2335122,0.0329635367501116
"44",48,81055576.3541213,0.0369005591737386
"45",49,82858997.2240802,0.024992267418287
"46",50,80596600.8284393,0.031388452133133
